Country,GPI_2022
Afghanistan,3.554
Albania,1.761
Algeria,2.146
Angola,1.982
Argentina,1.911
Armenia,1.992
Australia,1.565
Austria,1.3
Azerbaijan,2.437
Bahrain,2.085
Bangladesh,2.067
Belarus,2.259
Belgium,1.526
Benin,2.125
Bhutan,1.481
Bolivia,1.989
Bosnia and Herzegovina,1.85
Botswana,1.801
Brazil,2.465
Bulgaria,1.541
Burkina Faso,2.786
Burundi,2.47
Cambodia,1.882
Cameroon,2.709
Canada,1.389
Central African Republic,3.021
Chad,2.591
Chile,1.84
China,2.01
Colombia,2.729
Costa Rica,1.732
Croatia,1.44
Cuba,2.083
Cyprus,1.903
Czech Republic,1.318
Denmark,1.296
Djibouti,2.213
Dominican Republic,1.99
DR Congo,3.166
Ecuador,1.988
Egypt,2.342
El Salvador,2.231
Equatorial Guinea,1.863
Eritrea,2.494
Estonia,1.662
Eswatini,2.033
Ethiopia,2.806
Finland,1.439
France,1.895
Gabon,1.973
Gambia,1.792
Georgia,2.065
Germany,1.462
Ghana,1.759
Greece,1.838
Guatemala,2.139
Guinea,2.332
Guinea-Bissau,2.156
Guyana,2.14
Haiti,2.254
Honduras,2.269
Hungary,1.411
Iceland,1.107
India,2.578
Indonesia,1.8
Iran,2.687
Iraq,3.157
Ireland,1.288
Israel,2.576
Italy,1.643
Ivory Coast,2.144
Jamaica,1.99
Japan,1.336
Jordan,1.849
Kazakhstan,2.071
Kenya,2.303
Kuwait,1.739
Kyrgyzstan,2.028
Laos,1.809
Latvia,1.673
Lebanon,2.615
Lesotho,2.089
Liberia,1.973
Libya,2.93
Lithuania,1.724
Madagascar,1.995
Malawi,1.895
Malaysia,1.471
Mali,2.911
Mauritania,2.193
Mauritius,1.57
Mexico,2.612
Moldova,1.882
Mongolia,1.775
Montenegro,1.801
Morocco,1.969
Mozambique,2.316
Myanmar,2.631
Namibia,1.908
Nepal,1.947
Netherlands,1.522
New Zealand,1.269
Nicaragua,2.334
Niger,2.655
Nigeria,2.725
North Korea,2.942
North Macedonia,1.704
Norway,1.465
Oman,1.889
Pakistan,2.789
Palestine,2.552
Panama,1.876
Papua New Guinea,2.046
Paraguay,1.976
Peru,2.091
Philippines,2.339
Poland,1.552
Portugal,1.301
Qatar,1.533
Republic of the Congo,2.184
Romania,1.64
Russia,3.275
Rwanda,1.945
Saudi Arabia,2.288
Senegal,1.916
Serbia,1.832
Sierra Leone,1.803
Singapore,1.326
Slovakia,1.499
Slovenia,1.316
Somalia,3.125
South Africa,2.283
South Korea,1.779
South Sudan,3.184
Spain,1.603
Sri Lanka,2.02
Sudan,3.007
Sweden,1.564
Switzerland,1.357
Syria,3.356
Taiwan,1.618
Tajikistan,2.031
Tanzania,2.001
Thailand,2.098
Timor-Leste,1.839
Togo,2.094
Total,2.07033950617284
Trinidad and Tobago,2.005
Tunisia,1.996
Turkey,2.785
Turkmenistan,2.116
Uganda,2.309
Ukraine,2.971
United Arab Emirates,1.865
United Kingdom,1.667
United States,2.44
Uruguay,1.795
Uzbekistan,2.001
Venezuela,2.798
Vietnam,1.786
Yemen,3.394
Zambia,1.841
Zimbabwe,2.35
